date,outdated dependencies,all dependencies,kotlin lines,java lines
25/09/2021,95,126
26/09/2021,95,126
27/09/2021,95,126
28/09/2021,95,126
29/09/2021,95,126
30/09/2021,95,126
01/10/2021,95,126
02/10/2021,95,126
03/10/2021,95,126
04/10/2021,95,126
05/10/2021,85,126,155083,97617
06/10/2021,86,129,155157,97644
07/10/2021,87,129,155211,97662
08/10/2021,90,129,155223,97663
09/10/2021,90,129,155489,97661
10/10/2021,90,129,155489,97661
11/10/2021,90,129,155462,97658
12/10/2021,90,129,155726,97658
13/10/2021,90,129,155761,97658
14/10/2021,90,129,155761,97658
15/10/2021,89,129,155887,97641
16/10/2021,89,129,156719,97736
17/10/2021,89,129,156719,97736
18/10/2021,89,129,156719,97736
19/10/2021,84,129,157012,97736
20/10/2021,82,129,157012,97736
21/10/2021,82,129,157089,97736
22/10/2021,82,129,157089,97736